"filename", "language", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\App.css", "PostCSS", 0, 0, 158, 0, 0, 27, 185
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\App.jsx", "JavaScript JSX", 0, 5, 0, 0, 0, 3, 8
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\assets\vite.svg", "XML", 0, 0, 0, 1, 0, 1, 2
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\components\About\About.css", "PostCSS", 0, 0, 26, 0, 0, 5, 31
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\components\About\About.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 2, 23
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\components\Benefits\Benefits.css", "PostCSS", 0, 0, 28, 0, 0, 6, 34
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\components\Benefits\Benefits.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 2, 21
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\components\BusinessAffiliation\BusinessAffiliation.css", "PostCSS", 0, 0, 385, 0, 0, 66, 451
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\components\BusinessAffiliation\BusinessConfirmationStep.jsx", "JavaScript JSX", 0, 72, 0, 0, 0, 10, 82
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\components\BusinessAffiliation\BusinessContactStep.jsx", "JavaScript JSX", 0, 50, 0, 0, 0, 12, 62
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\components\BusinessAffiliation\BusinessInfoStep.jsx", "JavaScript JSX", 0, 85, 0, 0, 0, 14, 99
"c:\Users\eleaz\Documentos\ReactProyectos\Kalitan\src\components\BusinessAffiliation\BusinessStepProgress.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 2, 21
